model,validation_year,eta,residual_cap,best_iteration,rule_slope,rank_ic_mean,rank_ic_median,rank_ic_positive_share,top_bottom_spread_5d,n_dates
xgb_00,2019,0.05,0.25,0,0.001401069211017962,-0.0035333941348642726,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.05,0.5,0,0.001401069211017962,-0.0035333941348642726,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.1,0.1,0,0.001401069211017962,-0.0035333941348642726,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.1,0.25,0,0.001401069211017962,-0.0035333941348642726,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.1,0.5,0,0.001401069211017962,-0.0035333941348642726,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.25,0.1,0,0.001401069211017962,-0.003615861404505524,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.25,0.25,0,0.001401069211017962,-0.003615861404505524,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.25,0.5,0,0.001401069211017962,-0.003615861404505524,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
xgb_00,2019,0.5,0.1,0,0.001401069211017962,-0.0037034537918027542,-0.0038961038961038965,0.49206349206349204,-0.002339548954650866,252
xgb_00,2019,0.5,0.25,0,0.001401069211017962,-0.0037034537918027542,-0.0038961038961038965,0.49206349206349204,-0.002339548954650866,252
xgb_00,2019,0.5,0.5,0,0.001401069211017962,-0.0037034537918027542,-0.0038961038961038965,0.49206349206349204,-0.002339548954650866,252
xgb_00,2019,0.75,0.1,0,0.001401069211017962,-0.0037292970381812393,-0.005194805194805195,0.49603174603174605,-0.00231603769382852,252
xgb_00,2019,0.75,0.25,0,0.001401069211017962,-0.0037292970381812393,-0.005194805194805195,0.49603174603174605,-0.00231603769382852,252
xgb_00,2019,0.75,0.5,0,0.001401069211017962,-0.0037292970381812393,-0.005194805194805195,0.49603174603174605,-0.00231603769382852,252
xgb_00,2019,1.0,0.1,0,0.001401069211017962,-0.0037911767863655884,-0.004545454545454545,0.49603174603174605,-0.0023465754929917638,252
xgb_00,2019,1.0,0.25,0,0.001401069211017962,-0.0037911767863655884,-0.004545454545454545,0.49603174603174605,-0.0023465754929917638,252
xgb_00,2019,1.0,0.5,0,0.001401069211017962,-0.0037911767863655884,-0.004545454545454545,0.49603174603174605,-0.0023465754929917638,252
xgb_00,2020,0.05,0.1,97,-0.002575655504326612,0.035575773311234606,0.03422554081127459,0.5375494071146245,-0.006422671268388525,253
xgb_00,2020,0.05,0.25,97,-0.002575655504326612,0.03589478229402848,0.03529411764705882,0.541501976284585,-0.006422671268388525,253
xgb_00,2020,0.05,0.5,97,-0.002575655504326612,0.03589478229402848,0.03529411764705882,0.541501976284585,-0.006422671268388525,253
xgb_00,2020,0.1,0.1,97,-0.002575655504326612,0.03601081655333619,0.03422554081127459,0.5375494071146245,-0.006422671268388525,253
xgb_00,2020,0.1,0.25,97,-0.002575655504326612,0.0365280737935812,0.02982456140350877,0.541501976284585,-0.0057436261904065125,253
xgb_00,2020,0.1,0.5,97,-0.002575655504326612,0.0365280737935812,0.02982456140350877,0.541501976284585,-0.0057436261904065125,253
xgb_00,2020,0.25,0.1,97,-0.002575655504326612,0.03653682542955851,0.03090508562952616,0.5335968379446641,-0.005636743429833908,253
xgb_00,2020,0.25,0.25,97,-0.002575655504326612,0.03807655936781354,0.02982456140350877,0.5454545454545454,-0.00449067045634299,253
xgb_00,2020,0.25,0.5,97,-0.002575655504326612,0.038157935791900965,0.032352941176470584,0.5454545454545454,-0.004412679541033466,253
xgb_00,2020,0.5,0.1,97,-0.002575655504326612,0.03647960104197495,0.03090508562952616,0.541501976284585,-0.004932145791636262,253
xgb_00,2020,0.5,0.25,97,-0.002575655504326612,0.03746298886443774,0.03766233766233767,0.541501976284585,-0.0038085753070879035,253
xgb_00,2020,0.5,0.5,97,-0.002575655504326612,0.037583727819474715,0.03766233766233767,0.541501976284585,-0.0038085753070879035,253
xgb_00,2020,0.75,0.1,97,-0.002575655504326612,0.036693455684528774,0.03529411764705882,0.549407114624506,-0.0042216354095137324,253
xgb_00,2020,0.75,0.25,97,-0.002575655504326612,0.03820475180256872,0.02647058823529412,0.5533596837944664,-0.003123159882641007,253
xgb_00,2020,0.75,0.5,97,-0.002575655504326612,0.038171507799746034,0.02647058823529412,0.549407114624506,-0.0030919388328851135,253
xgb_00,2020,1.0,0.1,97,-0.002575655504326612,0.03674170557272678,0.03529411764705882,0.541501976284585,-0.004088235006005537,253
xgb_00,2020,1.0,0.25,97,-0.002575655504326612,0.04059806970237837,0.044117647058823525,0.549407114624506,-0.003334475673131336,253
xgb_00,2020,1.0,0.5,97,-0.002575655504326612,0.04149015110327657,0.044117647058823525,0.5533596837944664,-0.003131339703304688,253
xgb_01,2018,0.05,0.1,2,-0.005374686057614655,0.03714815503695465,0.0669048427621642,0.5697211155378487,0.0018772971475256104,251
xgb_01,2018,0.05,0.25,2,-0.005374686057614655,0.03714815503695465,0.0669048427621642,0.5697211155378487,0.0018772971475256104,251
xgb_01,2018,0.05,0.5,2,-0.005374686057614655,0.03714815503695465,0.0669048427621642,0.5697211155378487,0.0018772971475256104,251
xgb_01,2018,0.1,0.1,2,-0.005374686057614655,0.03714815503695465,0.0669048427621642,0.5697211155378487,0.0018772971475256104,251
xgb_01,2018,0.1,0.25,2,-0.005374686057614655,0.03714815503695465,0.0669048427621642,0.5697211155378487,0.0018772971475256104,251
xgb_01,2018,0.1,0.5,2,-0.005374686057614655,0.03714815503695465,0.0669048427621642,0.5697211155378487,0.0018772971475256104,251
xgb_01,2018,0.25,0.1,2,-0.005374686057614655,0.037272333647189036,0.0669048427621642,0.5697211155378487,0.0018612638610180556,251
xgb_01,2018,0.25,0.25,2,-0.005374686057614655,0.037272333647189036,0.0669048427621642,0.5697211155378487,0.0018612638610180556,251
xgb_01,2018,0.25,0.5,2,-0.005374686057614655,0.037272333647189036,0.0669048427621642,0.5697211155378487,0.0018612638610180556,251
xgb_01,2018,0.5,0.1,2,-0.005374686057614655,0.03697222189333044,0.06623376623376624,0.5697211155378487,0.0018547490239844856,251
xgb_01,2018,0.5,0.25,2,-0.005374686057614655,0.036946342945911495,0.06623376623376624,0.5697211155378487,0.0018547490239844856,251
xgb_01,2018,0.5,0.5,2,-0.005374686057614655,0.036946342945911495,0.06623376623376624,0.5697211155378487,0.0018547490239844856,251
xgb_01,2018,0.75,0.1,2,-0.005374686057614655,0.03724640595877351,0.06623376623376624,0.5697211155378487,0.0017597708549312,251
xgb_01,2018,0.75,0.25,2,-0.005374686057614655,0.03724640595877351,0.06623376623376624,0.5697211155378487,0.0017597708549312,251
xgb_01,2018,0.75,0.5,2,-0.005374686057614655,0.03724640595877351,0.06623376623376624,0.5697211155378487,0.0017597708549312,251
xgb_01,2018,1.0,0.1,2,-0.005374686057614655,0.03723088699394226,0.06623376623376624,0.5697211155378487,0.0017304765949394693,251
xgb_01,2018,1.0,0.25,2,-0.005374686057614655,0.037148101253786,0.06623376623376624,0.5697211155378487,0.0017304765949394693,251
xgb_01,2018,1.0,0.5,2,-0.005374686057614655,0.037148101253786,0.06623376623376624,0.5697211155378487,0.0017304765949394693,251
xgb_01,2019,0.05,0.1,11,0.001401069211017962,-0.0025736750564157706,-0.0038961038961038965,0.49206349206349204,-0.0022991505311553352,252
xgb_01,2019,0.05,0.25,11,0.001401069211017962,-0.002460301393771955,-0.0038961038961038965,0.49206349206349204,-0.0022991505311553352,252
xgb_01,2019,0.05,0.5,11,0.001401069211017962,-0.002460301393771955,-0.0038961038961038965,0.49206349206349204,-0.0022991505311553352,252
xgb_01,2019,0.1,0.1,11,0.001401069211017962,-0.002522139290594288,-0.0038961038961038965,0.49206349206349204,-0.0022991505311553352,252
xgb_01,2019,0.1,0.25,11,0.001401069211017962,-0.002465424837373454,-0.0038961038961038965,0.49206349206349204,-0.0022991505311553352,252
xgb_01,2019,0.1,0.5,11,0.001401069211017962,-0.002465424837373454,-0.0038961038961038965,0.49206349206349204,-0.0022991505311553352,252
xgb_01,2019,0.25,0.1,11,0.001401069211017962,-0.0021665023291185465,-0.004545454545454545,0.49603174603174605,-0.002233082887761103,252
xgb_01,2019,0.25,0.25,11,0.001401069211017962,-0.0018160591215324816,-0.004545454545454545,0.49603174603174605,-0.002228208779547477,252
xgb_01,2019,0.25,0.5,11,0.001401069211017962,-0.0018160591215324816,-0.004545454545454545,0.49603174603174605,-0.002228208779547477,252
xgb_01,2019,0.5,0.1,11,0.001401069211017962,-0.0021510734064072315,-0.0071428571428571435,0.49206349206349204,-0.002343382927457951,252
xgb_01,2019,0.5,0.25,11,0.001401069211017962,-0.0020273858943811985,-0.0071428571428571435,0.4880952380952381,-0.002384262719847621,252
xgb_01,2019,0.5,0.5,11,0.001401069211017962,-0.0020273858943811985,-0.0071428571428571435,0.4880952380952381,-0.002384262719847621,252
xgb_01,2019,0.75,0.1,11,0.001401069211017962,-0.0022025874095204655,-0.0012987012987012987,0.49206349206349204,-0.0022666359679569493,252
xgb_01,2019,0.75,0.25,11,0.001401069211017962,-0.0015995821202105767,-0.0012987012987012987,0.49206349206349204,-0.0022803803491695932,252
xgb_01,2019,0.75,0.5,11,0.001401069211017962,-0.0015995821202105767,-0.0012987012987012987,0.49206349206349204,-0.0022803803491695932,252
xgb_01,2019,1.0,0.1,11,0.001401069211017962,-0.0014048864173777883,-0.0012987012987012987,0.49206349206349204,-0.001758836382092045,252
xgb_01,2019,1.0,0.25,11,0.001401069211017962,-0.0006008832710917234,-0.0012987012987012987,0.49206349206349204,-0.0017141581597445634,252
xgb_01,2019,1.0,0.5,11,0.001401069211017962,-0.0006008832710917234,-0.0012987012987012987,0.49206349206349204,-0.0017141581597445634,252
xgb_01,2020,0.05,0.1,67,-0.002575655504326612,0.03536250800216171,0.041246164567433484,0.5454545454545454,-0.006118125258902123,253
xgb_01,2020,0.05,0.25,67,-0.002575655504326612,0.035955473590234176,0.04035087719298246,0.5454545454545454,-0.006118058359773065,253
xgb_01,2020,0.05,0.5,67,-0.002575655504326612,0.035955473590234176,0.04035087719298246,0.5454545454545454,-0.006118058359773065,253
xgb_01,2020,0.1,0.1,67,-0.002575655504326612,0.035362716180462835,0.041246164567433484,0.5454545454545454,-0.006118125258902123,253
xgb_01,2020,0.1,0.25,67,-0.002575655504326612,0.03602773446689794,0.03529411764705882,0.5454545454545454,-0.005634658485902199,253
xgb_01,2020,0.1,0.5,67,-0.002575655504326612,0.036622047498954945,0.03529411764705882,0.5454545454545454,-0.005354626182590879,253
xgb_01,2020,0.25,0.1,67,-0.002575655504326612,0.035695504117502976,0.041246164567433484,0.541501976284585,-0.005893274148336597,253
xgb_01,2020,0.25,0.25,67,-0.002575655504326612,0.037222373110599845,0.03529411764705882,0.549407114624506,-0.004707797965211766,253
xgb_01,2020,0.25,0.5,67,-0.002575655504326612,0.03733576983188456,0.03529411764705882,0.549407114624506,-0.004645080927499442,253
xgb_01,2020,0.5,0.1,67,-0.002575655504326612,0.03434495477955385,0.03684210526315789,0.5454545454545454,-0.005602829549916957,253
xgb_01,2020,0.5,0.25,67,-0.002575655504326612,0.0364523642919732,0.03859649122807017,0.5573122529644269,-0.004289692720600436,253
xgb_01,2020,0.5,0.5,67,-0.002575655504326612,0.03670322394517503,0.03859649122807017,0.5573122529644269,-0.004178362253196512,253
xgb_01,2020,0.75,0.1,67,-0.002575655504326612,0.03381718849114675,0.02941176470588235,0.5454545454545454,-0.004622001608182156,253
xgb_01,2020,0.75,0.25,67,-0.002575655504326612,0.035875033486360106,0.03529411764705882,0.5573122529644269,-0.003224108310960627,253
xgb_01,2020,0.75,0.5,67,-0.002575655504326612,0.037146463631124484,0.03823529411764706,0.5533596837944664,-0.002840736833754303,253
xgb_01,2020,1.0,0.1,67,-0.002575655504326612,0.033674656264913075,0.02857142857142857,0.5612648221343873,-0.004305511627343794,253
xgb_01,2020,1.0,0.25,67,-0.002575655504326612,0.03695330620097198,0.044117647058823525,0.5454545454545454,-0.003002464885757992,253
xgb_01,2020,1.0,0.5,67,-0.002575655504326612,0.039415401919226004,0.044117647058823525,0.549407114624506,-0.0023404734518479575,253
xgb_02,2018,0.05,0.1,16,-0.005374686057614655,0.037098324512318724,0.062337662337662345,0.5617529880478087,0.001981939540019271,251
xgb_02,2018,0.05,0.25,16,-0.005374686057614655,0.037098324512318724,0.062337662337662345,0.5617529880478087,0.001981939540019271,251
xgb_02,2018,0.05,0.5,16,-0.005374686057614655,0.037098324512318724,0.062337662337662345,0.5617529880478087,0.001981939540019271,251
xgb_02,2018,0.1,0.1,16,-0.005374686057614655,0.037098324512318724,0.062337662337662345,0.5617529880478087,0.001981939540019271,251
xgb_02,2018,0.1,0.25,16,-0.005374686057614655,0.037098324512318724,0.062337662337662345,0.5617529880478087,0.001981939540019271,251
xgb_02,2018,0.1,0.5,16,-0.005374686057614655,0.037098324512318724,0.062337662337662345,0.5617529880478087,0.001981939540019271,251
xgb_02,2018,0.25,0.1,16,-0.005374686057614655,0.03709832451231874,0.062337662337662345,0.5617529880478087,0.001965906253511716,251
xgb_02,2018,0.25,0.25,16,-0.005374686057614655,0.03709832451231874,0.062337662337662345,0.5617529880478087,0.001965906253511716,251
xgb_02,2018,0.25,0.5,16,-0.005374686057614655,0.03709832451231874,0.062337662337662345,0.5617529880478087,0.001965906253511716,251
xgb_02,2018,0.5,0.1,16,-0.005374686057614655,0.036632654723939784,0.062337662337662345,0.5617529880478087,0.0020079274680063043,251
xgb_02,2018,0.5,0.25,16,-0.005374686057614655,0.036632654723939784,0.062337662337662345,0.5617529880478087,0.0020079274680063043,251
xgb_02,2018,0.5,0.5,16,-0.005374686057614655,0.036632654723939784,0.062337662337662345,0.5617529880478087,0.0020079274680063043,251
xgb_02,2018,0.75,0.1,16,-0.005374686057614655,0.03623424834943779,0.062337662337662345,0.5617529880478087,0.0020079274680063043,251
xgb_02,2018,0.75,0.25,16,-0.005374686057614655,0.03623424834943779,0.062337662337662345,0.5617529880478087,0.0020079274680063043,251
xgb_02,2018,0.75,0.5,16,-0.005374686057614655,0.03623424834943779,0.062337662337662345,0.5617529880478087,0.0020079274680063043,251
xgb_02,2018,1.0,0.1,16,-0.005374686057614655,0.03565474816834397,0.05584415584415584,0.5577689243027888,0.0019085429290926256,251
xgb_02,2018,1.0,0.25,16,-0.005374686057614655,0.03565474816834397,0.05584415584415584,0.5577689243027888,0.0019085429290926256,251
xgb_02,2018,1.0,0.5,16,-0.005374686057614655,0.03565474816834397,0.05584415584415584,0.5577689243027888,0.0019085429290926256,251
xgb_02,2019,0.05,0.1,28,0.001401069211017962,-0.0025149337418006877,-0.0019480519480519483,0.49206349206349204,-0.0021857366052565,252
xgb_02,2019,0.05,0.25,28,0.001401069211017962,-0.0025149337418006877,-0.0019480519480519483,0.49206349206349204,-0.0021857366052565,252
xgb_02,2019,0.05,0.5,28,0.001401069211017962,-0.0025149337418006877,-0.0019480519480519483,0.49206349206349204,-0.0021857366052565,252
xgb_02,2019,0.1,0.1,28,0.001401069211017962,-0.0025149337418006856,-0.0019480519480519483,0.49206349206349204,-0.0021857366052565,252
xgb_02,2019,0.1,0.25,28,0.001401069211017962,-0.0025149337418006856,-0.0019480519480519483,0.49206349206349204,-0.0021857366052565,252
xgb_02,2019,0.1,0.5,28,0.001401069211017962,-0.0025149337418006856,-0.0019480519480519483,0.49206349206349204,-0.0021857366052565,252
xgb_02,2019,0.25,0.1,28,0.001401069211017962,-0.002520087318382834,0.0,0.49603174603174605,-0.0021857366052565,252
xgb_02,2019,0.25,0.25,28,0.001401069211017962,-0.002520087318382834,0.0,0.49603174603174605,-0.0021857366052565,252
xgb_02,2019,0.25,0.5,28,0.001401069211017962,-0.002520087318382834,0.0,0.49603174603174605,-0.0021857366052565,252
xgb_02,2019,0.5,0.1,28,0.001401069211017962,-0.0019119569114169701,-0.0019480519480519483,0.49206349206349204,-0.002227909356732961,252
xgb_02,2019,0.5,0.25,28,0.001401069211017962,-0.0019119569114169701,-0.0019480519480519483,0.49206349206349204,-0.002227909356732961,252
xgb_02,2019,0.5,0.5,28,0.001401069211017962,-0.0019119569114169701,-0.0019480519480519483,0.49206349206349204,-0.002227909356732961,252
xgb_02,2019,0.75,0.1,28,0.001401069211017962,-0.002839600696203614,-0.00974025974025974,0.4880952380952381,-0.002209440826848669,252
xgb_02,2019,0.75,0.25,28,0.001401069211017962,-0.002839600696203614,-0.00974025974025974,0.4880952380952381,-0.002209440826848669,252
xgb_02,2019,0.75,0.5,28,0.001401069211017962,-0.002839600696203614,-0.00974025974025974,0.4880952380952381,-0.002209440826848669,252
xgb_02,2019,1.0,0.1,28,0.001401069211017962,-0.0020264640851316964,-0.00974025974025974,0.4880952380952381,-0.00211452408226914,252
xgb_02,2019,1.0,0.25,28,0.001401069211017962,-0.0020264640851316964,-0.00974025974025974,0.4880952380952381,-0.00211452408226914,252
xgb_02,2019,1.0,0.5,28,0.001401069211017962,-0.0020264640851316964,-0.00974025974025974,0.4880952380952381,-0.00211452408226914,252
xgb_02,2020,0.05,0.1,541,-0.002575655504326612,0.035304513350020314,0.03529411764705882,0.541501976284585,-0.0063714467629842585,253
xgb_02,2020,0.05,0.25,541,-0.002575655504326612,0.035410463710797785,0.0411764705882353,0.5454545454545454,-0.006353758697752472,253
xgb_02,2020,0.05,0.5,541,-0.002575655504326612,0.035410463710797785,0.0411764705882353,0.5454545454545454,-0.006353758697752472,253
xgb_02,2020,0.1,0.1,541,-0.002575655504326612,0.03534270830691418,0.03529411764705882,0.541501976284585,-0.0063714467629842585,253
xgb_02,2020,0.1,0.25,541,-0.002575655504326612,0.03601229379169638,0.03529411764705882,0.5454545454545454,-0.005602236166078035,253
xgb_02,2020,0.1,0.5,541,-0.002575655504326612,0.036105295419224866,0.03529411764705882,0.5454545454545454,-0.005526935284507563,253
xgb_02,2020,0.25,0.1,541,-0.002575655504326612,0.0355793940863491,0.03090508562952616,0.541501976284585,-0.005754741113915286,253
xgb_02,2020,0.25,0.25,541,-0.002575655504326612,0.037366689588633074,0.03529411764705882,0.5454545454545454,-0.004546874459927948,253
xgb_02,2020,0.25,0.5,541,-0.002575655504326612,0.03751965279180492,0.03529411764705882,0.5454545454545454,-0.004448400958649418,253
xgb_02,2020,0.5,0.1,541,-0.002575655504326612,0.03590104377963703,0.03090508562952616,0.541501976284585,-0.005056704512454801,253
xgb_02,2020,0.5,0.25,541,-0.002575655504326612,0.03641136750480967,0.02647058823529412,0.541501976284585,-0.004376040660331498,253
xgb_02,2020,0.5,0.5,541,-0.002575655504326612,0.03640178181074424,0.02647058823529412,0.541501976284585,-0.004376040660331498,253
xgb_02,2020,0.75,0.1,541,-0.002575655504326612,0.03499837708444401,0.033766233766233764,0.549407114624506,-0.004821892630207868,253
xgb_02,2020,0.75,0.25,541,-0.002575655504326612,0.0373198086844852,0.03896103896103896,0.5612648221343873,-0.003595343224698163,253
xgb_02,2020,0.75,0.5,541,-0.002575655504326612,0.03756679326987334,0.03896103896103896,0.5573122529644269,-0.003595343224698163,253
xgb_02,2020,1.0,0.1,541,-0.002575655504326612,0.034359295752062945,0.03090508562952616,0.5454545454545454,-0.004464428371803739,253
xgb_02,2020,1.0,0.25,541,-0.002575655504326612,0.03929924656285723,0.04385964912280702,0.5533596837944664,-0.0031914295506857973,253
xgb_02,2020,1.0,0.5,541,-0.002575655504326612,0.04031961310348221,0.04385964912280702,0.5573122529644269,-0.002728191498783682,253
xgb_03,2018,0.05,0.1,1,-0.005374686057614655,0.03714463753791994,0.05714285714285714,0.5697211155378487,0.0019804835457403465,251
xgb_03,2018,0.05,0.25,1,-0.005374686057614655,0.03714463753791994,0.05714285714285714,0.5697211155378487,0.0019804835457403465,251
xgb_03,2018,0.05,0.5,1,-0.005374686057614655,0.03714463753791994,0.05714285714285714,0.5697211155378487,0.0019804835457403465,251
xgb_03,2018,0.1,0.1,1,-0.005374686057614655,0.03712394110288087,0.05714285714285714,0.5697211155378487,0.0019804835457403465,251
xgb_03,2018,0.1,0.25,1,-0.005374686057614655,0.03712394110288087,0.05714285714285714,0.5697211155378487,0.0019804835457403465,251
xgb_03,2018,0.1,0.5,1,-0.005374686057614655,0.03712394110288087,0.05714285714285714,0.5697211155378487,0.0019804835457403465,251
xgb_03,2018,0.25,0.1,1,-0.005374686057614655,0.03712394110288088,0.05714285714285714,0.5697211155378487,0.001964450259232792,251
xgb_03,2018,0.25,0.25,1,-0.005374686057614655,0.03712394110288088,0.05714285714285714,0.5697211155378487,0.001964450259232792,251
xgb_03,2018,0.25,0.5,1,-0.005374686057614655,0.03712394110288088,0.05714285714285714,0.5697211155378487,0.001964450259232792,251
xgb_03,2018,0.5,0.1,1,-0.005374686057614655,0.036637495862488864,0.05714285714285714,0.5697211155378487,0.0019007299361800262,251
xgb_03,2018,0.5,0.25,1,-0.005374686057614655,0.036637495862488864,0.05714285714285714,0.5697211155378487,0.0019007299361800262,251
