model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_25,1.0,0.25,0.02447497322045739,0.03619917585174545,2,-0.0014947568161396297,127.33333333333333,-0.0021830907836411016
xgb_14,1.0,0.5,0.024423868675992305,0.03676735795880603,2,-0.0016613615753550267,64.0,-0.0021830907836411016
xgb_11,1.0,0.5,0.024404796929100248,0.036187983920612045,2,-0.0016893939880160977,19.666666666666668,-0.0021830907836411016
xgb_07,0.75,0.5,0.02440305902753002,0.03590314068401718,2,-0.0013341289622890373,177.33333333333334,-0.0021830907836411016
xgb_14,1.0,0.25,0.02439613134848381,0.03676735795880603,2,-0.0016879837669202902,64.0,-0.0021830907836411016
xgb_10,0.5,0.5,0.024353460628039936,0.03659869443545534,2,-0.0014692268305145802,106.66666666666667,-0.0021830907836411016
xgb_05,0.75,0.25,0.02435147786856043,0.03691027922534844,2,-0.001251441955175827,13.0,-0.0021830907836411016
xgb_05,0.75,0.5,0.024337065335639344,0.03691027922534844,2,-0.001135140962135636,13.0,-0.0021830907836411016
xgb_26,0.75,0.5,0.024336689491492387,0.03605631724520278,2,-0.0013635566425688507,244.33333333333334,-0.0021830907836411016
xgb_30,1.0,0.25,0.02432821277784099,0.03692275013305273,2,-0.0009981558165094667,10.666666666666666,-0.0021830907836411016
xgb_10,0.5,0.25,0.024322188150947027,0.03659869443545534,2,-0.0014692268305145802,106.66666666666667,-0.0021830907836411016
xgb_07,0.75,0.25,0.02432202252167187,0.03590314068401718,2,-0.0013607511538543011,177.33333333333334,-0.0021830907836411016
xgb_27,1.0,0.5,0.02431012730595394,0.03743100869687029,2,-0.0013763317134615736,14.333333333333334,-0.0021830907836411016
xgb_00,1.0,0.25,0.0243100127558571,0.036123145351558514,2,-0.0013160295900364607,34.666666666666664,-0.0021830907836411016
xgb_02,1.0,0.25,0.024309176882023165,0.03565474816834397,2,-0.0011324702346207705,195.0,-0.0021830907836411016
xgb_24,0.75,0.5,0.02429541926757402,0.036805631973015715,2,-0.001258546975866157,31.0,-0.0021830907836411016
xgb_16,1.0,0.5,0.024294169494590342,0.03713182354520927,2,-0.0014607694641333333,99.0,-0.0021830907836411016
xgb_18,0.75,0.5,0.024292559344154224,0.037076278455891426,2,-0.0013747223033089802,34.666666666666664,-0.0021830907836411016
xgb_18,0.25,0.5,0.02428543029361251,0.0371917500097605,2,-0.0017975329607162035,34.666666666666664,-0.0021830907836411016
xgb_13,0.5,0.25,0.024281107524052686,0.036958256390428185,2,-0.0016087997037073163,31.0,-0.0021830907836411016
xgb_21,1.0,0.25,0.024279311845910825,0.035628912919749574,2,-0.0014924615660637294,41.333333333333336,-0.0021830907836411016
xgb_21,1.0,0.5,0.024279311845910825,0.035628912919749574,2,-0.0014924615660637294,41.333333333333336,-0.0021830907836411016
xgb_04,0.25,0.25,0.024272152375306954,0.037017615726802226,2,-0.001540877413856434,211.0,-0.0021830907836411016
xgb_04,0.25,0.5,0.024268277307493268,0.037017615726802226,2,-0.0015080529134302572,211.0,-0.0021830907836411016
xgb_16,1.0,0.25,0.024267044019894535,0.03713182354520927,2,-0.0014683958072091673,99.0,-0.0021830907836411016
xgb_01,0.75,0.5,0.024264429156562472,0.037146463631124484,2,-0.0011204487759975655,26.666666666666668,-0.0021830907836411016
xgb_01,0.25,0.5,0.024264014785847037,0.037272333647189036,2,-0.001670675282009621,26.666666666666668,-0.0021830907836411016
xgb_18,0.25,0.25,0.024257692966104017,0.03710853802723502,2,-0.0017975329607162035,34.666666666666664,-0.0021830907836411016
xgb_27,1.0,0.25,0.02425757594770868,0.03743100869687029,2,-0.0014939564110544787,14.333333333333334,-0.0021830907836411016
xgb_23,1.0,0.5,0.02423826315628998,0.03567366682746315,2,-0.0015348301475620891,39.666666666666664,-0.0021830907836411016
xgb_07,0.25,0.5,0.024237650968620027,0.03705696693744502,2,-0.0017662063491698434,177.33333333333334,-0.0021830907836411016
xgb_17,1.0,0.25,0.024236954374531244,0.03666858488989636,2,-0.0013583333161024166,19.333333333333332,-0.0021830907836411016
xgb_17,1.0,0.5,0.024236954374531244,0.03666858488989636,2,-0.0013583333161024166,19.333333333333332,-0.0021830907836411016
xgb_13,0.5,0.5,0.024236102350497238,0.036958256390428185,2,-0.0016101234082600295,31.0,-0.0021830907836411016
xgb_07,0.25,0.25,0.024233775900806335,0.03705696693744502,2,-0.0017990308495960195,177.33333333333334,-0.0021830907836411016
xgb_01,0.25,0.25,0.024226215878752132,0.037222373110599845,2,-0.0016915809612470627,26.666666666666668,-0.0021830907836411016
xgb_17,0.25,0.25,0.02421513426851593,0.03741267600972226,2,-0.0018151117813069116,19.333333333333332,-0.0021830907836411016
xgb_17,0.25,0.5,0.02421513426851593,0.03741267600972226,2,-0.0018151117813069116,19.333333333333332,-0.0021830907836411016
xgb_17,0.75,0.25,0.024205285999865444,0.037154929263902105,2,-0.0013936427204815569,19.333333333333332,-0.0021830907836411016
xgb_18,0.5,0.5,0.024204897286580845,0.03745732723938527,2,-0.001594943263453011,34.666666666666664,-0.0021830907836411016
xgb_17,0.75,0.5,0.02419366079642438,0.037154929263902105,2,-0.0013936427204815569,19.333333333333332,-0.0021830907836411016
xgb_05,1.0,0.5,0.02419202700610769,0.036925813310140145,2,-0.0011003517162265913,13.0,-0.0021830907836411016
xgb_24,0.75,0.25,0.024190180583791788,0.036805631973015715,2,-0.0012851691674314206,31.0,-0.0021830907836411016
xgb_26,0.75,0.25,0.024186105715925433,0.03605631724520278,2,-0.0014806209253874398,244.33333333333334,-0.0021830907836411016
xgb_18,0.75,0.25,0.024181610034120244,0.037076278455891426,2,-0.001492347000901885,34.666666666666664,-0.0021830907836411016
xgb_03,1.0,0.1,0.02417813698981793,0.036456383558099235,2,-0.0014444235579063353,28.666666666666668,-0.0021830907836411016
xgb_18,0.5,0.25,0.024176412138967956,0.0373718717965466,2,-0.001594943263453011,34.666666666666664,-0.0021830907836411016
