period,strategy,year,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days
validation,fusion_no_news,2019,0.3638944959120307,0.3638944959120307,0.3122387490886964,0.3250079497883356,0.17035697464996696,1.907805362569572,2.5468659284553437,0.23794345335266714,-0.08889276694630022,-0.02478550847006886,0.004336675498299802,1.0928422255715502,0.0027321055639288752,1.0,0.23966416239416077,0.03,0.0,252
validation,fusion_no_news,2020,0.1509096678832873,0.15027046443181025,0.18252915820840965,0.23856775012567877,0.4343306613678669,0.549276786893979,0.547617808023286,-0.32736162008706726,-0.24590221579867633,-0.06964286053355397,0.0026273334251330966,0.6620880231335403,0.0016617883913966833,1.0,0.3305026789097798,0.030000000000000006,0.0,253
validation,fusion_full,2018,0.011541332711302754,0.011587579502069456,-0.045867831508921264,0.047263909061905696,0.2675216529172682,0.17667320961313807,0.23795580806067346,-0.16743959527685623,-0.2852148157333856,-0.04081284703972191,0.003979695029518322,1.002883147438617,0.0024972586310227467,1.0,0.20235425460339737,0.03,0.0,251
validation,fusion_full,2019,0.40792047619279925,0.40792047619279925,0.3122387490886964,0.35548854891117276,0.16236361553712747,2.1894594286728215,2.987894480019791,0.27640271796030835,-0.08388122214189075,-0.02334199775632673,0.0030096008978983705,0.7584194262703894,0.0018960485656759729,1.0,0.21898661377535866,0.030000000000000002,0.0,252
validation,fusion_full,2020,0.22504694558323268,0.22406449781245064,0.18252915820840965,0.29187108139282814,0.4191184745944571,0.6963927841053661,0.7443690619532473,-0.23510980584632557,-0.23911435329805397,-0.06632759369320193,0.002224203920559468,0.560499387980986,0.0014068089797538634,1.0,0.2829409267966003,0.03629401247513296,0.0,253
validation,fusion_full_no_risk,2018,0.030650188789872912,0.03077416110218012,-0.045867831508921264,0.06566138763720104,0.2660497458293823,0.2468011665732231,0.32916815784541836,-0.1466860141304357,-0.2727821076670519,-0.04094952813550071,0.004869484875172587,1.2271101885434916,0.003055601759170798,1.0,0.22417172183477932,0.04,0.0,251
validation,fusion_full_no_risk,2019,0.4477805795528882,0.4477805795528882,0.3122387490886964,0.3840240498670987,0.1659268367358814,2.314417953247548,3.1382051045929753,0.30142890441957115,-0.08462866495069932,-0.023788967988732423,0.0028257207775268973,0.7120816359367781,0.0017802040898419454,1.0,0.2309259403153596,0.030000000000000013,0.0,252
validation,fusion_full_no_risk,2020,0.2508571971825846,0.2497510533234335,0.18252915820840965,0.3098083256499731,0.4129208347364181,0.7502850415570207,0.8147864317982179,-0.20170252162828778,-0.2488170016839948,-0.06595045688570031,0.002303462016051015,0.5804724280448558,0.0014569397251522668,1.0,0.293378871441808,0.029999999999999995,0.0,253
locked_test,equal_weight,2021,0.35264562252200404,0.35264562252200404,0.2872878080332173,0.32502403118553597,0.21381254346708672,1.5201354696740166,2.2281031461244183,0.18787661995394142,-0.12204164703878007,-0.03054424435836739,0.0,0.0,0.0,1.0,0.11052624099475461,0.0,0.0,252
locked_test,equal_weight,2022,-0.320322775045637,-0.3213675835384203,-0.18240720154722911,-0.3333847304962696,0.329256941479355,-1.012536680315283,-1.763733792348662,-0.6586151310332878,-0.3732928055919619,-0.042965717627729466,0.0,0.0,0.0,1.0,0.10164751927599158,0.0,0.0,251
locked_test,equal_weight,2023,0.5396495400374466,0.6078513989874494,0.22434453391409326,0.4966494118534055,0.20744272192979676,2.3941520205345297,4.573274043259147,0.36755196320847655,-0.11801521290755568,-0.022081188024186165,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,229
locked_test,strategy_only,2021,0.36258248984504937,0.36258248984504937,0.2872878080332173,0.3467619468130575,0.2732044634776676,1.2692396837118392,1.8614552990176223,0.12283991022069687,-0.14173721445222165,-0.03906950984353242,0.006699653576710172,1.6883127013309633,0.004220781753327408,1.0,0.2444271243939827,0.04000000000000001,0.0,252
locked_test,strategy_only,2022,-0.255350421057016,-0.2562246231454154,-0.18240720154722911,-0.2535506357351831,0.2910630150893666,-0.871119388553486,-1.3752655968903646,-0.5077036719939216,-0.31796244032874543,-0.03953547926405027,0.003924125065364873,0.988879516471948,0.002462388478516458,1.0,0.2502786151010202,0.030000000000000013,0.0,251
locked_test,strategy_only,2023,0.4706401926741852,0.5287280034323367,0.22434453391409326,0.4508475581380568,0.22973193018131396,1.9624941025055995,3.5952470217595343,0.2925172789035605,-0.1252961769400105,-0.02568927664891189,0.005966719283436701,1.5036132594260485,0.0034159467897675114,1.0,0.3043697407441178,0.04,0.0,229
locked_test,strategy_risk,2021,0.39494427588975034,0.39494427588975034,0.2872878080332173,0.37090323985279905,0.2755291953761444,1.346148597234688,1.9643152951465797,0.14315422733892244,-0.1407316717879119,-0.039337775283473826,0.0059841414125625745,1.5080036359657687,0.0037700090899144218,1.0,0.24266823128991405,0.04,0.0,252
locked_test,strategy_risk,2022,-0.2684249604146547,-0.26933538065433393,-0.18240720154722911,-0.2718234447757608,0.28935855280494255,-0.9394000700542547,-1.4773769123312148,-0.5230085610198729,-0.33628844429895477,-0.03941073531575298,0.003740309748013645,0.9425580564994386,0.0023470443668785626,1.0,0.2591391056326935,0.030000000000000027,0.0,251
locked_test,strategy_risk,2023,0.4647571763820624,0.5219997624037451,0.22434453391409326,0.4426402449530601,0.2121778520028156,2.086175539882392,3.8362575097060296,0.30758192231147397,-0.11062290965141264,-0.0237830932490265,0.004989800325375292,1.2574296819945736,0.002856660686277355,1.0,0.31613121177204595,0.03860636648699162,0.0,229
locked_test,fusion_no_news,2021,0.3931827204683809,0.3931827204683809,0.2872878080332173,0.36844736739017014,0.2711551629740213,1.358806387269381,2.001468458729349,0.14787200016776597,-0.13884914441490448,-0.03864620310920975,0.005396164941708572,1.3598335653105602,0.0033995839132764,1.0,0.2554905246265897,0.030000000000000013,0.0,252
locked_test,fusion_no_news,2022,-0.27717130272145074,-0.27810543135223975,-0.18240720154722911,-0.279052222145427,0.305659234428267,-0.912952041731675,-1.4624741857989825,-0.5593349249192499,-0.34320421382567823,-0.04144066186843964,0.003253445174132877,0.819868183881485,0.0020415368467683803,1.0,0.24913906964082427,0.017255302929357202,0.0,251
locked_test,fusion_no_news,2023,0.4860076395562454,0.5463160536885958,0.22434453391409326,0.458600977059583,0.2126284726942241,2.1568182814306627,3.9656055083434096,0.32296837485874785,-0.1086796532945572,-0.023624684615696154,0.004344395216778046,1.0947875946280676,0.0024871662616054316,1.0,0.30005549872204795,0.03,0.0,229
locked_test,fusion_full,2021,0.38742512930325845,0.38742512930325845,0.2872878080332173,0.3628301974582066,0.26567483964699745,1.3656927315371663,2.0080808945100377,0.15108083619383317,-0.1389029298808777,-0.03769571932177275,0.004353670689288419,1.0971250137006816,0.0027428125342517044,1.0,0.2431041198698596,0.03,0.0,252
locked_test,fusion_full,2022,-0.2873826967661628,-0.28834396974404286,-0.18240720154722911,-0.2894258578975145,0.3182240824871504,-0.9095033148825287,-1.473597673535807,-0.5932255579218806,-0.34833893877214595,-0.042719596246681174,0.0030545205660099835,0.7697391826345158,0.0019167116551712644,1.0,0.256376609301645,0.022897393340110955,0.0,251
locked_test,fusion_full,2023,0.42808068518603637,0.4801154688464606,0.22434453391409326,0.4114233908657116,0.19599574372974585,2.0991445173065295,4.1259812483071645,0.296180396185183,-0.10449380665537689,-0.02044336538362716,0.003370901901897889,0.849467279278268,0.0019298413388365416,1.0,0.31721608617777647,0.03,0.0,229
locked_test,fusion_full_no_risk,2021,0.37468678757206697,0.37468678757206697,0.2872878080332173,0.3533946359367721,0.26492608810106855,1.333936715971713,1.9621009075978406,0.1428371394671667,-0.14221531183579006,-0.037505144824864355,0.005145174187506215,1.2965838952515663,0.003241459738128916,1.0,0.24011324945334828,0.03,0.0,252
locked_test,fusion_full_no_risk,2022,-0.27359117862662785,-0.2745156535671235,-0.18240720154722911,-0.27256936986109176,0.31061667189341874,-0.8775104317472628,-1.4064899703332163,-0.562017520435523,-0.3326257694105542,-0.04172508554391825,0.0032665803049243456,0.823178236840935,0.0020497791413400268,1.0,0.22981701188139692,0.03,0.0,251
locked_test,fusion_full_no_risk,2023,0.4406889022983451,0.49450191720299164,0.22434453391409326,0.423124974955608,0.20621629291705598,2.0518503604649547,3.837335236861495,0.29554949656224894,-0.11655519717225982,-0.02221684327917231,0.004029438354153687,1.015418465246729,0.002306853457752986,1.0,0.2851906835511942,0.030000000000000013,0.0,229
