period,strategy,transaction_cost_bps,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,average_cash_weight,average_health_score
locked_test,fusion_full,10.0,0.41753511673013044,0.12763197687315486,0.08459199801513972,0.1557371420810283,0.26694955501877926,0.5833953986927326,0.89554614249412,-0.05804905269314442,-0.3599324695597613,-0.03740289438675008,0.003600746190305743,0.9073880399570473,0.002635746211303804,1.0,0.31721608617777647,0.03,0.0,732,0.024738871299696832,56.25756171674654
locked_test,fusion_full_no_risk,10.0,0.44521462349595864,0.13516417585559282,0.08459199801513972,0.16213796072015674,0.26599786023390304,0.609546109046073,0.9337161510335353,-0.050126624226888294,-0.3411981260522089,-0.03698005590549795,0.0041519630258043325,1.046294682502692,0.0030392369348887713,1.0,0.2851906835511942,0.030000000000000013,0.0,732,0.02521905033802798,56.15221068990288
validation,equal_weight,25.0,1.109185810328165,0.28244361696034814,0.14007748650178153,0.3018180788765327,0.3194541902577497,0.9447929877927493,0.9898933257019293,-0.0043348601431709155,-0.2986924173033052,-0.04961760918165097,0.0,0.0,0.0,1.0,0.27330824292709166,0.0,0.0,756,0.03686741436205769,66.36441654729414
validation,strategy_only,25.0,0.6952744734908107,0.1923763154034963,0.14007748650178153,0.23039936415977497,0.3241101870432772,0.7108673943932858,0.7496114997821397,-0.0847428758759094,-0.2932048464597351,-0.05041317010109762,0.005691379021767864,1.4342275134855018,0.010756706351141261,1.0,0.34900856473265474,0.04,0.0,756,0.02456995286406077,67.38862786515939
validation,strategy_risk,25.0,0.7164528113912376,0.19732106354054824,0.14007748650178153,0.23847422402170285,0.33402473790957227,0.7139418041733873,0.7392302551350189,-0.09624335258497249,-0.2830121242213087,-0.05118111809994935,0.004641491248455728,1.1696557946108435,0.008772418459581325,1.0,0.35859607764091744,0.04000000000000001,0.0,756,0.025061532732712444,66.39819316868778
validation,fusion_no_news,25.0,0.5757354778463395,0.1636644615118148,0.14007748650178153,0.20162260562803422,0.3114226213053679,0.647424406046379,0.6867245820468395,-0.0893295415540856,-0.2926745442999429,-0.048219765832905194,0.003861510342360676,0.9731006062748904,0.007298254547061678,1.0,0.3305026789097798,0.03396757182117676,0.0,756,0.030903973385500175,67.52189366314123
validation,fusion_full,25.0,0.7446748081582748,0.20384755968154744,0.14007748650178153,0.2318647342493907,0.3019320594026497,0.7679367825600167,0.85590974073601,-0.04162417123598494,-0.2852148157333856,-0.04698828653343393,0.0030688445378056,0.7733488235270111,0.005800116176452584,1.0,0.2829409267966003,0.03629401247513296,0.0,756,0.025847705325663155,68.44914820230271
validation,fusion_full_no_risk,25.0,0.8664732308959506,0.23123396795100803,0.14007748650178153,0.25348753340329305,0.299289117025618,0.8469654223397488,0.9506819894262463,-0.01523439330662918,-0.2727821076670519,-0.046864059822061405,0.00332949501278572,0.8390327432220014,0.00629274557416501,1.0,0.293378871441808,0.04,0.0,756,0.03210333574939348,68.27045462048171
locked_test,equal_weight,25.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614
locked_test,strategy_only,25.0,0.4921798909288315,0.14773091380409653,0.08459199801513972,0.1734793604384898,0.26729864275895876,0.6490095072982763,1.0081271380041763,-0.04086633282385457,-0.3239589479580476,-0.03637467158095402,0.0055186431812084035,1.3906980816645178,0.010099117021611377,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909
locked_test,strategy_risk,25.0,0.49479409323568135,0.14842274200026884,0.08459199801513972,0.17295703264814224,0.26297738730775866,0.6576878507266221,1.0084808569983945,-0.03451428605750248,-0.3443325531092929,-0.03630120898873552,0.004903668930639529,1.2357245705211615,0.008973714143070338,1.0,0.31613121177204595,0.04,0.0,732,0.02496237426741574,55.77329101336908
locked_test,fusion_no_news,25.0,0.4964579153290658,0.14886264642787883,0.08459199801513972,0.17462602810172842,0.2678271256343452,0.6520102386497592,1.0040078376639514,-0.04056807957493752,-0.3528321629752478,-0.03708715724680746,0.004332397279590281,1.0917641144567507,0.007928287021650212,1.0,0.30005549872204795,0.030000000000000013,0.0,732,0.023655341520305632,56.144045631567174
locked_test,fusion_full,25.0,0.4119478777283674,0.12609989362269958,0.08459199801513972,0.1543760600210927,0.26694591027974807,0.578304645534045,0.8877226058360789,-0.0594042970241572,-0.3606250700842808,-0.03740854121385719,0.003600746190305743,0.9073880399570473,0.006589365528259511,1.0,0.31721608617777647,0.03,0.0,732,0.024738871299696832,56.25756171674654
locked_test,fusion_full_no_risk,25.0,0.43864976436190783,0.13338635025778567,0.08459199801513972,0.1605685186964028,0.26599257735381177,0.6036578926141293,0.9244727443018056,-0.0516876349255678,-0.34184384820043634,-0.03698412698074953,0.0041519630258043325,1.046294682502692,0.007598092337221928,1.0,0.2851906835511942,0.030000000000000013,0.0,732,0.02521905033802798,56.15221068990288
validation,equal_weight,50.0,1.109185810328165,0.28244361696034814,0.14007748650178153,0.3018180788765327,0.3194541902577497,0.9447929877927493,0.9898933257019293,-0.0043348601431709155,-0.2986924173033052,-0.04961760918165097,0.0,0.0,0.0,1.0,0.27330824292709166,0.0,0.0,756,0.03686741436205769,66.36441654729414
validation,strategy_only,50.0,0.6770086595023439,0.18807840412949517,0.14007748650178153,0.22681379537606125,0.32417750938375334,0.6996592570756186,0.738168666488824,-0.08845937739469925,-0.29363796264153263,-0.05042831413988488,0.005691379021767864,1.4342275134855018,0.021513412702282523,1.0,0.34900856473265474,0.04,0.0,756,0.02456995286406077,67.38862786515939
validation,strategy_risk,50.0,0.7013385188099348,0.19379634498886333,0.14007748650178153,0.23555008453517567,0.33408787850172167,0.7050542677320207,0.7299863652807811,-0.09929404715016776,-0.28336289856518504,-0.05119148316003549,0.004641491248455728,1.1696557946108435,0.01754483691916265,1.0,0.35859607764091744,0.04000000000000001,0.0,756,0.025061532732712444,66.39819316868778
validation,fusion_no_news,50.0,0.5642463352467433,0.16082935518920527,0.14007748650178153,0.199189854112347,0.31144355049450495,0.6395696870141527,0.6783738675726493,-0.09180140132152279,-0.29308217612794407,-0.04822860882625875,0.003861510342360676,0.9731006062748904,0.014596509094123356,1.0,0.3305026789097798,0.03396757182117676,0.0,756,0.030903973385500175,67.52189366314123
validation,fusion_full,50.0,0.7344738199729419,0.20149670189826274,0.14007748650178153,0.2299313621905732,0.30199597086276136,0.7613722843178689,0.8483428456002413,-0.043673337061452266,-0.2857372074978436,-0.04700813600155366,0.0030688445378056,0.7733488235270111,0.011600232352905167,1.0,0.2829409267966003,0.03629401247513296,0.0,756,0.025847705325663155,68.44914820230271
validation,fusion_full_no_risk,50.0,0.8546808848580789,0.22863551618241584,0.14007748650178153,0.251389951545238,0.2993366224407702,0.8398235721891351,0.9433492775180348,-0.017417289057506613,-0.2734397182681202,-0.04688481563230858,0.00332949501278572,0.8390327432220014,0.01258549114833002,1.0,0.293378871441808,0.04,0.0,756,0.03210333574939348,68.27045462048171
locked_test,equal_weight,50.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614
locked_test,strategy_only,50.0,0.47716979366427714,0.14374314632642293,0.08459199801513972,0.17000261523432852,0.26731837774504036,0.6359555847539653,0.987577086626745,-0.04437473000639175,-0.32522920540212064,-0.03639282839627818,0.0055186431812084035,1.3906980816645178,0.020198234043222754,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909
locked_test,strategy_risk,50.0,0.4814308788526145,0.14487788922868639,0.08459199801513972,0.1698677212218393,0.2629908943084706,0.645907234425371,0.9904967166419634,-0.03762491024566822,-0.34554053047239763,-0.03631673327007714,0.004903668930639529,1.2357245705211615,0.017947428286140675,1.0,0.31613121177204595,0.04,0.0,732,0.02496237426741574,55.77329101336908
locked_test,fusion_no_news,50.0,0.48464548970148535,0.14573253651894658,0.08459199801513972,0.17189661781558657,0.26782710966489737,0.6418193364766618,0.9883247090946689,-0.043297464198772284,-0.3540138027251786,-0.037097796427864906,0.004332397279590281,1.0917641144567507,0.015856574043300424,1.0,0.30005549872204795,0.030000000000000013,0.0,732,0.023655341520305632,56.144045631567174
locked_test,fusion_full,50.0,0.40268395425594417,0.12355083805407197,0.08459199801513972,0.15210758992120013,0.2669404680597046,0.5698183981874916,0.8739329352328394,-0.061664050542602405,-0.361777828918297,-0.03741795259236904,0.003600746190305743,0.9073880399570473,0.013178731056519021,1.0,0.31721608617777647,0.03,0.0,732,0.024738871299696832,56.25756171674654
locked_test,fusion_full_no_risk,50.0,0.42777356714415626,0.1304292293273943,0.08459199801513972,0.15795278199014604,0.26598456940836407,0.5938418997067546,0.9093231575633364,-0.05429059149991253,-0.34291871178839417,-0.036990912106168825,0.0041519630258043325,1.046294682502692,0.015196184674443856,1.0,0.2851906835511942,0.030000000000000013,0.0,732,0.02521905033802798,56.15221068990288
