family,mode,alpha,year,n,qlike,base_qlike,relative_gain,dm_t,dm_p,mean_multiplier,p95_multiplier,share_amplified
legacy+events,two_sided,1.0,2022,3937,0.34820673687787285,0.3917573677340429,0.11116735623396318,-2.4915178633346233,0.01271985706903389,1.1439775094317395,1.2555213700969952,0.745745491490983
legacy+events,two_sided,1.0,2023,3874,0.42554125063221154,0.4260930833025401,0.0012950988691283812,-0.009416407546475788,0.9924869048300393,1.178917117371462,1.2683976942170585,0.8905524006195147
legacy+events,amplify_only,1.0,2019,4411,0.5433764955113246,0.5690285559041661,0.04508044478028225,-1.5188186805236037,0.1288081424520069,1.1304527206761736,1.2298159040389463,0.8145545227839492
legacy+events,amplify_only,1.0,2020,4118,1.8939470968556646,2.0549804052248644,0.07836245443497492,-1.9584302754303669,0.05017954512405032,1.1089032538114565,1.2296340351545791,0.665857212238951
legacy+events,amplify_only,1.0,2021,3780,0.4498907692120716,0.4761427923157888,0.0551347695006297,-2.0174092833686252,0.04365281928225495,1.0891254411133442,1.2314319794045934,0.5259259259259259
legacy+events,amplify_only,1.0,2022,3937,0.34820673687787285,0.3917573677340429,0.11116735623396318,-2.4915178633346233,0.01271985706903389,1.1439775094317395,1.2555213700969952,0.745745491490983
legacy+events,amplify_only,1.0,2023,3874,0.42554125063221154,0.4260930833025401,0.0012950988691283812,-0.009416407546475788,0.9924869048300393,1.178917117371462,1.2683976942170585,0.8905524006195147
legacy+source+events,two_sided,10.0,2019,4411,0.5426580873297001,0.5690285559041661,0.04634296170350234,-1.8274454030076868,0.06763282805083803,1.1061459622749306,1.1807789678944378,0.8145545227839492
legacy+source+events,two_sided,10.0,2020,4118,1.8881291892831602,2.0549804052248644,0.08119358000566755,-1.8976576221371773,0.05774119846121706,1.095650245917871,1.206585357034391,0.665857212238951
legacy+source+events,two_sided,10.0,2021,3780,0.44926949459300564,0.4761427923157888,0.05643957685903643,-2.3645781283643372,0.018050619598707573,1.0737282209994043,1.1683201605201445,0.5259259259259259
legacy+source+events,two_sided,10.0,2022,3937,0.3482492588121001,0.3917573677340429,0.11105881472911996,-2.9590606617968467,0.0030857835164668224,1.116326103451296,1.1996825004065776,0.745745491490983
legacy+source+events,two_sided,10.0,2023,3874,0.4187320318933682,0.4260930833025401,0.017275688570483744,-0.38926784601195663,0.6970780193788451,1.1498984795744782,1.227266636235625,0.8905524006195147
legacy+source+events,amplify_only,10.0,2019,4411,0.5426580873297001,0.5690285559041661,0.04634296170350234,-1.8274454030076868,0.06763282805083803,1.1061459622749306,1.1807789678944378,0.8145545227839492
legacy+source+events,amplify_only,10.0,2020,4118,1.8881291892831602,2.0549804052248644,0.08119358000566755,-1.8976576221371773,0.05774119846121706,1.095650245917871,1.206585357034391,0.665857212238951
legacy+source+events,amplify_only,10.0,2021,3780,0.44926949459300564,0.4761427923157888,0.05643957685903643,-2.3645781283643372,0.018050619598707573,1.0737282209994043,1.1683201605201445,0.5259259259259259
legacy+source+events,amplify_only,10.0,2022,3937,0.3482492588121001,0.3917573677340429,0.11105881472911996,-2.9590606617968467,0.0030857835164668224,1.116326103451296,1.1996825004065776,0.745745491490983
legacy+source+events,amplify_only,10.0,2023,3874,0.4187320318933682,0.4260930833025401,0.017275688570483744,-0.38926784601195663,0.6970780193788451,1.1498984795744782,1.227266636235625,0.8905524006195147
legacy+expanded,two_sided,10.0,2019,4411,0.542700965568088,0.5690285559041661,0.04626760829998157,-1.7665059037823136,0.07731101198179613,1.1112998445038913,1.190546587285052,0.8145545227839492
legacy+expanded,two_sided,10.0,2020,4118,1.8843668628949617,2.0549804052248644,0.08302441322365477,-1.883542444909418,0.0596268933469275,1.1002681497649116,1.2160252078947875,0.665857212238951
legacy+expanded,two_sided,10.0,2021,3780,0.4493258894330805,0.4761427923157888,0.056321135834652605,-2.279729045906775,0.022623763504069805,1.0776614191655463,1.180523994777215,0.5259259259259259
legacy+expanded,two_sided,10.0,2022,3937,0.3479332965094464,0.3917573677340429,0.1118653402183055,-2.872176900101308,0.004076546997613395,1.1223380823328275,1.2080268289968297,0.745745491490983
legacy+expanded,two_sided,10.0,2023,3874,0.4191668099666753,0.4260930833025401,0.01625530572376572,-0.35896020857917066,0.7196248570546946,1.1533340245486383,1.2297261241096893,0.8905524006195147
legacy+expanded,amplify_only,10.0,2019,4411,0.542700965568088,0.5690285559041661,0.04626760829998157,-1.7665059037823136,0.07731101198179613,1.1112998445038913,1.190546587285052,0.8145545227839492
legacy+expanded,amplify_only,10.0,2020,4118,1.8843668628949617,2.0549804052248644,0.08302441322365477,-1.883542444909418,0.0596268933469275,1.1002681497649116,1.2160252078947875,0.665857212238951
legacy+expanded,amplify_only,10.0,2021,3780,0.4493258894330805,0.4761427923157888,0.056321135834652605,-2.279729045906775,0.022623763504069805,1.0776614191655463,1.180523994777215,0.5259259259259259
legacy+expanded,amplify_only,10.0,2022,3937,0.3479332965094464,0.3917573677340429,0.1118653402183055,-2.872176900101308,0.004076546997613395,1.1223380823328275,1.2080268289968297,0.745745491490983
legacy+expanded,amplify_only,10.0,2023,3874,0.4191668099666753,0.4260930833025401,0.01625530572376572,-0.35896020857917066,0.7196248570546946,1.1533340245486383,1.2297261241096893,0.8905524006195147
attention,two_sided,0.1,2019,4411,0.5451077932572015,0.5690285559041661,0.04203789493297993,-1.0637879675026556,0.2874247633861038,1.1719174661160408,1.245141576476951,0.9968261165268647
attention,two_sided,0.1,2020,4118,1.388015226260045,2.0549804052248644,0.32456035944140177,-1.4288795973764337,0.15303884249601118,1.2221719534124573,1.4935764733679942,0.9995143273433705
attention,two_sided,0.1,2021,3780,0.47971092037719404,0.4761427923157888,-0.007493819331068974,0.11899677411999376,0.9052779115022607,1.2628785168083043,1.4935764733679942,0.9997354497354497
attention,two_sided,0.1,2022,3937,0.35023947860198723,0.3917573677340429,0.10597857896636019,-1.5849705124347042,0.11297303413878912,1.2314449087521826,1.4935764733679942,0.9951739903479807
attention,two_sided,0.1,2023,3874,0.4246874449791298,0.4260930833025401,0.0032988996500847587,-0.048306471992888934,0.9614719966728944,1.1838713553877003,1.4935764733679942,0.958957150232318
attention,amplify_only,0.1,2019,4411,0.5451870422301038,0.5690285559041661,0.041898624289916295,-1.059932649937705,0.2891752406093724,1.1720329702496108,1.245141576476951,0.9968261165268647
attention,amplify_only,0.1,2020,4118,1.388047665192958,2.0549804052248644,0.32454457392207,-1.4288149798957934,0.15305741888439828,1.2221895389977848,1.4935764733679942,0.9995143273433705
attention,amplify_only,0.1,2021,3780,0.47969231043988236,0.4761427923157888,-0.007454734548915361,0.11838268126042467,0.9057644476302666,1.2628939196110454,1.4935764733679942,0.9997354497354497
attention,amplify_only,0.1,2022,3937,0.3497924723127525,0.3917573677340429,0.1071196073835671,-1.5948398947875795,0.1107480432004666,1.2316347637764475,1.4935764733679942,0.9951739903479807
attention,amplify_only,0.1,2023,3874,0.4246192403620796,0.4260930833025401,0.0034589694088369262,-0.0506582869922423,0.9595978161025926,1.1870979773975259,1.4935764733679942,0.958957150232318
attention+sentiment,two_sided,0.1,2019,4411,0.5450246747469712,0.5690285559041661,0.04218396582760871,-1.069998450890407,0.28462000599746595,1.170762527536877,1.254747953814742,0.9943323509408297
attention+sentiment,two_sided,0.1,2020,4118,1.3863810852067777,2.0549804052248644,0.3253555694828758,-1.4301930136571304,0.1526616300418948,1.2218699855051174,1.4895924038212083,0.9990286546867412
attention+sentiment,two_sided,0.1,2021,3780,0.4791749707931396,0.4761427923157888,-0.00636821249063402,0.10103927540163975,0.9195192824311325,1.2622071680100324,1.4895924038212083,0.9994708994708995
attention+sentiment,two_sided,0.1,2022,3937,0.3508928238497106,0.3917573677340429,0.10431084964833262,-1.5607564810092578,0.11858121914819453,1.2307835355734853,1.4895924038212083,0.9900939801879604
attention+sentiment,two_sided,0.1,2023,3874,0.42526476912649375,0.4260930833025401,0.0019439747053068461,-0.025762479595392605,0.9794467888540321,1.179457736807662,1.4895924038212083,0.9445018069179143
