outer_year,news_family,feature,total_gain,is_news
2021,log_count,l_absret,1570.8917236328125,False
2021,log_count,l_gk5,18825.130859375,False
2021,log_count,l_gk22,1682.468994140625,False
2021,log_count,l_rs5,1438.4599609375,False
2021,log_count,l_rs22,2020.89599609375,False
2021,log_count,l_gapvol5,142.19244384765625,False
2021,log_count,l_gapvol22,240.9916229248047,False
2021,log_count,l_downsemi5,742.649658203125,False
2021,log_count,l_downsemi22,959.2797241210938,False
2021,log_count,l_upsemi5,102.80447387695312,False
2021,log_count,l_upsemi22,194.11932373046875,False
2021,log_count,signed_ret1,58.66160583496094,False
2021,log_count,max_absret22,160.701904296875,False
2021,log_count,ret_skew22,61.203369140625,False
2021,log_count,ret_kurt22,1713.2333984375,False
2021,log_count,drawdown,928.5983276367188,False
2021,log_count,log_volume,193.5816650390625,False
2021,log_count,volume_z22,2950.860595703125,False
2021,log_count,mkt_ret1,653.256103515625,False
2021,log_count,mkt_l_rv5,2297.970458984375,False
2021,log_count,mkt_l_rv22,6282.24462890625,False
2021,log_count,mkt_l_rv66,7373.4921875,False
2021,log_count,mkt_drawdown,128.2556610107422,False
2021,log_count,cross_median_l_rv22,1661.9508056640625,False
2021,log_count,cross_ret_dispersion,746.5855102539062,False
2021,log_count,cross_median_absret,325.64990234375,False
2022,attention_finbert,l_rv5,28.307525634765625,False
2022,attention_finbert,l_rv22,440.2235107421875,False
2022,attention_finbert,l_rv66,39478.59375,False
2022,attention_finbert,l_park5,71627.6796875,False
2022,attention_finbert,l_park22,82649.8125,False
2022,attention_finbert,l_absret,2831.178955078125,False
2022,attention_finbert,l_gk5,49953.6015625,False
2022,attention_finbert,l_gk22,14751.8779296875,False
2022,attention_finbert,l_rs5,11370.37109375,False
2022,attention_finbert,l_rs22,8446.0830078125,False
2022,attention_finbert,l_gapvol5,339.8726501464844,False
2022,attention_finbert,l_gapvol22,783.5817260742188,False
2022,attention_finbert,l_downsemi5,2833.0048828125,False
2022,attention_finbert,l_downsemi22,2776.2939453125,False
2022,attention_finbert,l_upsemi5,270.5921325683594,False
2022,attention_finbert,l_upsemi22,881.7879638671875,False
2022,attention_finbert,signed_ret1,169.8046875,False
2022,attention_finbert,max_absret5,67.35508728027344,False
2022,attention_finbert,max_absret22,53.31272506713867,False
2022,attention_finbert,ret_skew22,487.8862609863281,False
2022,attention_finbert,ret_kurt22,4596.34228515625,False
2022,attention_finbert,drawdown,1573.5394287109375,False
2022,attention_finbert,log_volume,406.4814758300781,False
2022,attention_finbert,volume_z22,9449.806640625,False
2022,attention_finbert,mkt_ret1,1669.5455322265625,False
2022,attention_finbert,mkt_l_rv5,12282.8408203125,False
2022,attention_finbert,mkt_l_rv22,15537.0927734375,False
2022,attention_finbert,mkt_l_rv66,22256.673828125,False
2022,attention_finbert,mkt_drawdown,1102.7557373046875,False
2022,attention_finbert,cross_median_l_rv22,3299.8427734375,False
2022,attention_finbert,cross_ret_dispersion,2158.86474609375,False
2022,attention_finbert,cross_median_absret,564.4097290039062,False
2022,attention_finbert,count_z20,41.177791595458984,True
2022,attention_finbert,count_ratio20,261.1757507324219,True
2022,attention_finbert,news_count_3d,86.01164245605469,True
2022,attention_finbert,news_count_5d,47.06663513183594,True
2022,attention_finbert,days_since_news,205.38763427734375,True
2022,attention_finbert,sent_range,45.55722427368164,True
2022,attention_finbert,sent_abs_mean,65.68551635742188,True
2022,attention_finbert,sent_abs_surprise20,55.08681106567383,True
2023,all_deployable,l_rv5,1421.3994140625,False
2023,all_deployable,l_rv22,660.0726318359375,False
2023,all_deployable,l_rv66,2578.13623046875,False
2023,all_deployable,l_park5,1459.2333984375,False
2023,all_deployable,l_park22,698.06640625,False
2023,all_deployable,l_absret,1179.0533447265625,False
2023,all_deployable,l_gk5,1829.9818115234375,False
2023,all_deployable,l_gk22,1273.58935546875,False
2023,all_deployable,l_rs5,945.2830200195312,False
2023,all_deployable,l_rs22,1951.9818115234375,False
2023,all_deployable,l_gapvol5,2085.8896484375,False
2023,all_deployable,l_gapvol22,1661.22900390625,False
2023,all_deployable,l_downsemi5,1811.7232666015625,False
2023,all_deployable,l_downsemi22,409.2973937988281,False
2023,all_deployable,l_upsemi5,1600.3765869140625,False
2023,all_deployable,l_upsemi22,655.619873046875,False
2023,all_deployable,signed_ret1,951.41015625,False
2023,all_deployable,max_absret5,2120.1533203125,False
2023,all_deployable,max_absret22,2545.7265625,False
2023,all_deployable,ret_skew22,2378.494873046875,False
2023,all_deployable,ret_kurt22,8114.28466796875,False
2023,all_deployable,drawdown,9487.5859375,False
2023,all_deployable,log_volume,1269.3599853515625,False
2023,all_deployable,volume_z22,11702.6884765625,False
2023,all_deployable,mkt_ret1,5177.5625,False
2023,all_deployable,mkt_l_rv5,13503.6328125,False
2023,all_deployable,mkt_l_rv22,18333.251953125,False
2023,all_deployable,mkt_l_rv66,55693.74609375,False
2023,all_deployable,mkt_drawdown,2578.520263671875,False
2023,all_deployable,cross_median_l_rv22,11352.876953125,False
2023,all_deployable,cross_ret_dispersion,4036.546875,False
2023,all_deployable,cross_median_absret,2256.017578125,False
2023,all_deployable,has_news,54.435546875,True
2023,all_deployable,log_count,29.65355682373047,True
2023,all_deployable,count_z20,466.89263916015625,True
2023,all_deployable,count_ratio20,1186.3985595703125,True
2023,all_deployable,news_count_3d,560.6867065429688,True
2023,all_deployable,news_count_5d,1573.4952392578125,True
2023,all_deployable,days_since_news,2512.172607421875,True
2023,all_deployable,sent_mean,91.165283203125,True
2023,all_deployable,sent_std,29.885101318359375,True
2023,all_deployable,sent_range,148.6143341064453,True
2023,all_deployable,sent_abs_mean,341.80889892578125,True
2023,all_deployable,sent_extreme_share,35.08702087402344,True
2023,all_deployable,sent_surprise20,243.47349548339844,True
2023,all_deployable,sent_abs_surprise20,101.84584045410156,True
2023,all_deployable,unique_story_count,30.854171752929688,True
2023,all_deployable,publisher_entropy,49.383079528808594,True
2023,all_deployable,publisher_missing_share,664.4776611328125,True
2023,all_deployable,title_token_novelty,2.6890621185302734,True
2023,all_deployable,event_earnings_share,108.62193298339844,True
2023,all_deployable,event_corporate_action_share,95.45087432861328,True
2023,all_deployable,event_legal_regulatory_share,65.58586883544922,True
2023,all_deployable,event_product_share,64.10786437988281,True
2023,all_deployable,event_management_share,12.007200241088867,True
2023,all_deployable,news_state_uncovered,24.61935043334961,True
2023,all_deployable,news_state_silent,2120.877685546875,True
