model,alpha_strength,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,period,scope,strategy,transaction_cost_bps,rebalance_sessions,turnover_penalty_multiplier
elastic_net_a002,0.01,0.5921439016196512,0.167689672713508,0.14007748650178153,0.2041668149272374,0.3007001331774649,0.6789714815548279,0.6382730365421432,-0.06709489535159799,-0.2985864105678474,-0.04367439056682927,0.012416632305328289,3.128991340942729,0.023467435057070465,1.0,0.2000000000000001,0.050000000000000364,0.010100336380516224,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a002,0.02,0.5200977783355623,0.14980406954049497,0.14007748650178153,0.2194684017046097,0.37609558330783915,0.5835442144104414,0.5500752865842563,-0.20487526164638156,-0.3860540619859404,-0.05418020150381739,0.01935130917373505,4.876529911781233,0.03657397433835925,1.0,0.20000000000000007,0.050000000000000044,0.010154631978055093,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a002,0.03,0.6184450730167432,0.17408441074726166,0.14007748650178153,0.24960722198678229,0.39954280994183533,0.6247321082392138,0.6041405196380558,-0.2292961489418703,-0.3879404316267553,-0.05800156220932336,0.021432148643393368,5.400901458135128,0.04050676093601348,1.0,0.20000000000000012,0.050000000000000044,0.0035929804934398423,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a002,0.05,0.8519043231376782,0.22802209778943827,0.14007748650178153,0.29395483288155916,0.4060260645253529,0.7239802036482418,0.7489502748520478,-0.20061666234027892,-0.3613518303851211,-0.060430227181296425,0.01983051361867677,4.9972894319065455,0.037479670739299094,1.0,0.20000000000000623,0.050000000000004596,2.1763004432122266e-05,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.0025,0.6617454385420101,0.18446299881679762,0.14007748650178153,0.2003901739673131,0.24145202562455373,0.8299378456195275,0.7567925511138032,0.025492931932712654,-0.2414405775357117,-0.03558937719712551,0.003431651391843822,0.8647761507446431,0.006485821130584824,1.0,0.2000000000000038,0.05000000000000003,0.010159675570190901,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.005,0.6312053797142718,0.1771619480767994,0.14007748650178153,0.20069407902246753,0.2630363091411031,0.7629900209510896,0.6843457723263591,-0.006870220757254353,-0.2755170527770633,-0.03811049587341101,0.007701603825538729,1.9408041640357598,0.014556031230268197,1.0,0.2000000000000018,0.050000000000000044,2.713939035805385e-05,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.01,0.4271563935152416,0.12587589887661843,0.14007748650178153,0.16927931096186388,0.30309260947300565,0.5585068908680877,0.5077720021636516,-0.10631607878960381,-0.3171765053770963,-0.04434586198034193,0.015674211602506868,3.9499013238317304,0.029624259928737982,1.0,0.2000000000000001,0.05000000000000002,2.126529759112804e-05,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.02,0.46769344507533184,0.13643635421109823,0.14007748650178153,0.20061750630832953,0.3610382968800282,0.5556682159261184,0.5283437241584671,-0.1904284491337646,-0.3622708203702407,-0.053576878386328276,0.02415183707355802,6.086262942536621,0.045646972069024655,1.0,0.20000000000001705,0.050000000000012784,0.010070096531184014,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.03,0.5540254029706044,0.1582955057164137,0.14007748650178153,0.22995314262321534,0.3858188446314622,0.5960132477273595,0.5706833588978175,-0.21661539999505378,-0.37783271388139017,-0.05753906229710534,0.025160970863439647,6.340564657586792,0.04755423493190094,1.0,0.2000000000000037,0.05000000000000203,3.1874914436422884e-05,756,validation_screen,all,ml,25.0,5,1.0
xgb_shallow,0.05,0.7245666979021288,0.19920472721143434,0.14007748650178153,0.2768194216927161,0.4126150958777018,0.6708901939321309,0.6475952335885671,-0.2339342303457791,-0.39578722183556203,-0.060949179155779756,0.025436585190076168,6.410019467899194,0.04807514600924395,1.0,0.20000000000000115,0.050000000000000044,0.004510631468808077,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.0025,0.7692718745079108,0.2094786075253836,0.14007748650178153,0.22141921340808993,0.2418806904719227,0.9154067361726507,0.8281453385884919,0.04590040813856769,-0.24101539906432723,-0.035904303322813004,0.003650321912359752,0.9198811219146575,0.006899108414359933,1.0,0.20000000000000076,0.05000000000000007,0.010268945599339687,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.005,0.5456197259916655,0.1562033337424491,0.14007748650178153,0.18236239544012744,0.2614451230259094,0.6975169141787939,0.6170420693137151,-0.022698261621971194,-0.27683219754761623,-0.038133824983706856,0.00842482032142406,2.1230547209988635,0.015922910407491477,1.0,0.2000000000000029,0.05000000000000003,0.010700778126220958,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.01,0.6203085719700512,0.17453485665491364,0.14007748650178153,0.20874549723960611,0.2952101480167866,0.7071081351435662,0.6378725270007642,-0.052701597236673,-0.3065336918773587,-0.043059090559600825,0.018633760959218374,4.695707761723031,0.035217808212922724,1.0,0.200000000000008,0.050000000000000044,0.005317999629290332,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.02,0.8510302448552556,0.22782886311877193,0.14007748650178153,0.26916577088625704,0.34246482626335684,0.7859661788427507,0.7595308900228549,-0.08268070079651652,-0.3238962203868959,-0.05108457740709427,0.026865550282024656,6.770118671070214,0.05077589003302659,1.0,0.2000000000000128,0.05000000000000972,0.010060720075177481,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.03,0.9707511850001946,0.2537489975728202,0.14007748650178153,0.29753954327220955,0.3642669833365922,0.8168172161715662,0.8246529357177304,-0.10053176217521387,-0.3180683695407498,-0.054347271792895835,0.028298181928599373,7.131141846007043,0.05348356384505282,1.0,0.200000000000001,0.050000000000002376,0.006133449178520692,756,validation_screen,all,ml,25.0,5,1.0
xgb_medium,0.05,1.1573224278038485,0.2921264584906489,0.14007748650178153,0.33900141061906724,0.391403882317735,0.8661166276932115,0.8768802521107665,-0.1205895866611188,-0.3495173628448588,-0.05839176849666974,0.029211017924182157,7.361176516893903,0.05520882387670428,1.0,0.20000000000000223,0.050000000000000044,0.009476571386226396,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.0025,0.7500441227368728,0.20508125981896996,0.14007748650178153,0.21649711547953165,0.23782373549021688,0.910325939642965,0.8438756265760528,0.04681672799196973,-0.22872791800163605,-0.03541682346065668,0.003983970824995748,1.0039606478989285,0.007529704859241965,1.0,0.20000000000000676,0.05000000000000003,0.01007777937524601,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.005,0.6176854465173243,0.17390069424547594,0.14007748650178153,0.19497519104501704,0.2538598499419195,0.7680426467187518,0.686151326623057,0.0016407208074153412,-0.25764099700915166,-0.03735091577136541,0.009428464545429083,2.375973065448129,0.017819797990860968,1.0,0.20000000000000878,0.05000000000000049,0.010381915735843891,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.01,0.49643642740048466,0.1438070187809668,0.14007748650178153,0.18406499863057713,0.29868731304451085,0.6162464577233231,0.5416142667052051,-0.08357733429067171,-0.3236438950090734,-0.04270205493897781,0.020527547223964118,5.172941900438958,0.038797064253292185,1.0,0.20000000000000007,0.050000000000000044,0.010005936855279243,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.02,0.5741512904598578,0.1632743620489001,0.14007748650178153,0.22658992087499802,0.3622432433686128,0.6255186950289748,0.5575657614633354,-0.16707058122363816,-0.3910278937009395,-0.05223351090628468,0.029497110519943623,7.433271851025793,0.05574953888269345,1.0,0.20000000000000007,0.05000000000000143,0.010508879548443201,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.03,0.748873153191647,0.20481242311120673,0.14007748650178153,0.2727106426612282,0.3884366302034572,0.7020724140212691,0.6481479502651962,-0.17993840439022385,-0.4053962590186031,-0.05633041639470676,0.03226091863786508,8.129751496742001,0.06097313622556501,1.0,0.20000000000060195,0.05000000000045253,0.01000688789598909,756,validation_screen,all,ml,25.0,5,1.0
quantile_hgb,0.05,0.9323157870670407,0.24554484135475296,0.14007748650178153,0.3117891086505111,0.4045761855653996,0.7706561082303509,0.7301355924835404,-0.17925656112943478,-0.3993595374624339,-0.05909242243299797,0.03293145320793468,8.298726208399541,0.06224044656299656,1.0,0.20000000000000884,0.05000000000000686,0.010530431594061168,756,validation_screen,all,ml,25.0,5,1.0
xgb_rank_d2,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_screen,all,ml,25.0,5,1.0
