model,alpha_strength,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,period,scope,strategy,transaction_cost_bps,rebalance_sessions,turnover_penalty_multiplier
quantile_hgb,0.01,0.6924614679588303,0.19171643836554875,0.14007748650178153,0.21306640163820934,0.2685814829676909,0.7933026479857519,0.7864484766840534,-0.003341637341162773,-0.24911499100975154,-0.040900190291778535,0.007832012102710218,1.973667049882975,0.014802502874122315,1.0,0.20000000000000004,0.05000000000000002,0.01003024452800976,756,validation_tuning,all,ml,25.0,20,1.0
quantile_hgb,0.01,0.7589575244233675,0.20712372043951066,0.14007748650178153,0.22425785303749532,0.26243393943913845,0.8545306811945464,0.8428459403322206,0.01764313532885911,-0.23996576102098122,-0.03951607551434708,0.004528914079726651,1.141286348091116,0.00855964761068337,1.0,0.20000000000000004,0.05000000000000002,0.010137278221094023,756,validation_tuning,all,ml,25.0,20,2.0
quantile_hgb,0.01,0.6367829627637924,0.17850211231003832,0.14007748650178153,0.19695337352879203,0.24982904072029238,0.7883525988850122,0.7612829518673914,0.009709724767127476,-0.22092798071566244,-0.03778878285914553,0.0010654217701837046,0.26848628608629355,0.0020136471456472013,1.0,0.2,0.05000000000000002,0.011148829524168541,756,validation_tuning,all,ml,25.0,20,4.0
quantile_hgb,0.02,0.6422342889343768,0.17980900119702747,0.14007748650178153,0.24039304494888314,0.3617815713101102,0.6644701223402676,0.5934109752726147,-0.1522646710699539,-0.38945197066890547,-0.05192734122584888,0.03413773066140592,8.602708126674292,0.06452031095005718,1.0,0.20000000000000007,0.05000000000000126,0.010336118108512331,756,validation_tuning,all,ml,25.0,5,0.5
quantile_hgb,0.02,0.5741512904598578,0.1632743620489001,0.14007748650178153,0.22658992087499802,0.3622432433686128,0.6255186950289748,0.5575657614633354,-0.16707058122363816,-0.3910278937009395,-0.05223351090628468,0.029497110519943623,7.433271851025793,0.05574953888269345,1.0,0.20000000000000007,0.05000000000000143,0.010508879548443201,756,validation_tuning,all,ml,25.0,5,1.0
quantile_hgb,0.02,0.524342381535122,0.15087328287834567,0.14007748650178153,0.21063695243775626,0.35256951134024583,0.5974338269836438,0.5428315114560744,-0.162278828542343,-0.36806826800917136,-0.05162042533135717,0.02262816896934595,5.70229858027518,0.04276723935206385,1.0,0.20000000000000234,0.05000000000000232,0.010124213919178254,756,validation_tuning,all,ml,25.0,5,2.0
quantile_hgb,0.02,0.5951970008963907,0.16843558437780626,0.14007748650178153,0.21225544921503955,0.32250484256973777,0.6581465491301635,0.6193212807262581,-0.09977267122775449,-0.3117306409395948,-0.04804137562780646,0.01310028550915781,3.301271948307768,0.02475953961230826,1.0,0.2000000000000001,0.050000000000000044,0.010023782647214994,756,validation_tuning,all,ml,25.0,5,4.0
quantile_hgb,0.02,0.7708608999282505,0.20984058640899428,0.14007748650178153,0.2507697671244989,0.33529573680527763,0.7479062200845487,0.7344178324746925,-0.08649992623488306,-0.30243574228630865,-0.050395078825349666,0.021496213373347263,5.417045770083511,0.04062784327562633,1.0,0.20000000000000007,0.050000000000000044,0.010283178686651892,756,validation_tuning,all,ml,25.0,10,0.5
quantile_hgb,0.02,0.7321966303699019,0.20097065685794546,0.14007748650178153,0.2453264569571454,0.3396964611111034,0.7221931490093071,0.7046647919788148,-0.10085460011707681,-0.30851316156819286,-0.05082005015077288,0.01897121626141067,4.780746497875489,0.03585559873406617,1.0,0.2000000000000001,0.050000000000000044,0.01013588757040919,756,validation_tuning,all,ml,25.0,10,1.0
quantile_hgb,0.02,0.6576367351823724,0.18348598925394777,0.14007748650178153,0.22548149985836607,0.32830790226650103,0.6867988808729114,0.6918188447097077,-0.0978767362135251,-0.29838959943851817,-0.049318436311250206,0.014748307542936337,3.716573500819957,0.027874301256149675,1.0,0.20000000000000007,0.05000000000000111,0.010058857992914054,756,validation_tuning,all,ml,25.0,10,2.0
quantile_hgb,0.02,0.7027224357364148,0.19411994651272857,0.14007748650178153,0.2281640341750748,0.31098321835395343,0.7336860020381683,0.7523470249111472,-0.061967652118273264,-0.28519772538734245,-0.04633928192418667,0.00858103326519781,2.1624203828298483,0.016218152871223863,1.0,0.20000000000000004,0.050000000000000044,0.010432590671674274,756,validation_tuning,all,ml,25.0,10,4.0
quantile_hgb,0.02,0.9957035207610003,0.2590181989669178,0.14007748650178153,0.2806500395360127,0.3128280854843715,0.8971382448013403,0.9663918500622294,-0.012934193667439031,-0.3172722781029267,-0.04883162294534821,0.012586188195354222,3.171719425229264,0.023787895689219477,1.0,0.20000000000000007,0.050000000000000044,0.010567930916466446,756,validation_tuning,all,ml,25.0,20,0.5
quantile_hgb,0.02,0.9714152303026788,0.2538897988143747,0.14007748650178153,0.2758623168268359,0.3109057036477584,0.8872861243464835,0.9592248899566069,-0.014124752855287415,-0.30760266489150456,-0.04846001003825821,0.011321751718750337,2.853081433125085,0.02139811074843814,1.0,0.20000000000000004,0.05000000000000006,0.011211426961596244,756,validation_tuning,all,ml,25.0,20,1.0
quantile_hgb,0.02,0.8439196475638644,0.22625464071873513,0.14007748650178153,0.2560823880102839,0.3173355419612756,0.8069766986312978,0.8455448465008507,-0.046023150565285664,-0.30962317341050394,-0.04879600974206819,0.009414453548860922,2.372442294312952,0.017793317207347142,1.0,0.20000000000000007,0.05000000000000003,0.01074878273331419,756,validation_tuning,all,ml,25.0,20,2.0
quantile_hgb,0.02,0.9205656222429424,0.2430150403858582,0.14007748650178153,0.26076521926518414,0.289563026930606,0.9005473593411384,0.9576154110367806,0.00922497956953966,-0.2747774186156504,-0.04394932966078918,0.005449571463889196,1.3732920089000775,0.010299690066750581,1.0,0.2,0.050000000000000044,0.010402492665719076,756,validation_tuning,all,ml,25.0,20,4.0
quantile_hgb,0.03,0.7719050796269424,0.21007833193387837,0.14007748650178153,0.27686010319160653,0.38788287770313606,0.7137724274684273,0.655221654553621,-0.1744992772541915,-0.40539707168278316,-0.05628142943816774,0.03547967601298106,8.940878355271229,0.0670565876645342,1.0,0.20000000000000648,0.05000000000000182,0.010398570891980596,756,validation_tuning,all,ml,25.0,5,0.5
quantile_hgb,0.03,0.748873153191647,0.20481242311120673,0.14007748650178153,0.2727106426612282,0.3884366302034572,0.7020724140212691,0.6481479502651962,-0.17993840439022385,-0.4053962590186031,-0.05633041639470676,0.03226091863786508,8.129751496742001,0.06097313622556501,1.0,0.20000000000060195,0.05000000000045253,0.01000688789598909,756,validation_tuning,all,ml,25.0,5,1.0
quantile_hgb,0.03,0.7215005861459258,0.19849361584922387,0.14007748650178153,0.2658589148565267,0.3851107754447932,0.6903440043957907,0.6363895499735279,-0.17907201323454314,-0.40135459836498677,-0.05591107629003835,0.027295793237462656,6.878539895840589,0.05158904921880442,1.0,0.20000000000000007,0.05000000000000049,0.010484918282659595,756,validation_tuning,all,ml,25.0,5,2.0
quantile_hgb,0.03,0.5873602459341105,0.16651904381783278,0.14007748650178153,0.2322354323548168,0.3737542738376133,0.6213586000509982,0.5808259443295282,-0.18684133928082802,-0.3732289567093252,-0.055201157414614066,0.019382640327340626,4.884425362489838,0.03663319021867378,1.0,0.2000000000000026,0.050000000000000176,0.010791387411318742,756,validation_tuning,all,ml,25.0,5,4.0
quantile_hgb,0.03,0.875711386069792,0.23326196668357801,0.14007748650178153,0.28100815339326707,0.36460729068622916,0.7707145758505823,0.7727109188093462,-0.11780727587139012,-0.34543532742712013,-0.05503385710887943,0.0221648745681584,5.585548391175917,0.041891612933819385,1.0,0.20000000000000676,0.05000000000000676,0.01119228452334202,756,validation_tuning,all,ml,25.0,10,0.5
quantile_hgb,0.03,0.9690748482085936,0.2533934137428162,0.14007748650178153,0.2952757433777721,0.3612048409258154,0.8174744907098743,0.8361584442383635,-0.09613106794695864,-0.34140828645456045,-0.054518906018701054,0.020281728136216145,5.110995490326469,0.038332466177448524,1.0,0.20000000000000007,0.050000000000000044,0.010207760080980621,756,validation_tuning,all,ml,25.0,10,1.0
quantile_hgb,0.03,0.9698461359173705,0.2535570440114723,0.14007748650178153,0.2958050825871228,0.36141666941692735,0.8184599870956268,0.8252957555466168,-0.09606094421015082,-0.33900043151515125,-0.054182411039643295,0.017132934741259497,4.317499554797393,0.032381246660980446,1.0,0.20000000000000004,0.050000000000000044,0.010146876161172533,756,validation_tuning,all,ml,25.0,10,2.0
quantile_hgb,0.03,0.9124182303334729,0.24125484969386934,0.14007748650178153,0.27960309008573353,0.34780872312822314,0.8038990154443455,0.84662719312141,-0.08330963356652138,-0.33386854439149316,-0.05215932144304443,0.012925840243191877,3.257311741284353,0.02442983805963265,1.0,0.2000000000000001,0.050000000000000475,0.0102487848060267,756,validation_tuning,all,ml,25.0,10,4.0
quantile_hgb,0.03,1.3257798984421756,0.32491963883184494,0.14007748650178153,0.33822815080578517,0.3345744088284642,1.0109205661906864,1.1800519383999912,0.00240804567703623,-0.34484700914323796,-0.0518647737334725,0.012578415520324297,3.169760711121723,0.02377320533341292,1.0,0.20000000000000004,0.050000000000000044,0.010076640467510972,756,validation_tuning,all,ml,25.0,20,0.5
quantile_hgb,0.03,1.2756943661828544,0.3153398508005525,0.14007748650178153,0.3323036194854674,0.3381811218263363,0.982620252990091,1.1345107078945715,-0.010795793993690572,-0.33900131857447136,-0.052433004756282015,0.011777779935970376,2.968000543864535,0.02226000407898401,1.0,0.20000000000000004,0.05000000000000007,0.011688940084186167,756,validation_tuning,all,ml,25.0,20,1.0
