outer_year,horizon,scope,stage,feature,alpha,median_gain,mean_gain,worst_gain,positive_fold_share,accepted
2022,5,research,family_forward,sentiment,10.0,-0.12746198145569518,-0.13232500302453423,-0.20829131551304378,0.0,False
2022,5,research,family_forward,source_diffusion_novelty,0.001,-0.15653992233629666,-0.1580062822879686,-0.25643122926850176,0.0,False
2022,5,research,family_forward,events,10.0,-0.07525598917231865,-0.08537125044652723,-0.1362456487011436,0.0,False
2022,5,research,family_forward,causal_state,10.0,-0.06455934710993166,-0.09771605176186364,-0.20577458918475744,0.0,False
2022,5,research,drop_column,has_news,10.0,-0.003810452214041621,-0.004924778014061703,-0.027572955803457023,0.3333333333333333,False
2022,5,research,drop_column,log_count,10.0,0.001768080514832899,0.0016480047728053202,-0.00087472064121443,0.8333333333333334,True
2022,5,research,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2022,5,research,drop_column,news_state_silent,10.0,-0.04396112591333082,-0.06235039899580985,-0.16026346881907055,0.0,False
2022,5,research,drop_column,news_state_stale,10.0,0.0,-0.021085409603626707,-0.12651245762176025,0.0,False
2022,5,deployable,family_forward,attention,10.0,-0.24150885464465283,-0.2661431322633596,-0.46087213921251247,0.0,False
2022,5,deployable,family_forward,sentiment,10.0,-0.12746198145569518,-0.13232500302453423,-0.20829131551304378,0.0,False
2022,5,deployable,family_forward,source_diffusion_novelty,10.0,-0.13558788801182692,-0.1502108991973902,-0.22843622799078303,0.0,False
2022,5,deployable,family_forward,events,10.0,-0.07525598917231865,-0.08537125044652723,-0.1362456487011436,0.0,False
2022,5,deployable,family_forward,causal_state,10.0,-0.06455934710993166,-0.09771605176186364,-0.20577458918475744,0.0,False
2022,5,deployable,drop_column,has_news,10.0,-0.003810452214041621,-0.004924778014061703,-0.027572955803457023,0.3333333333333333,False
2022,5,deployable,drop_column,log_count,10.0,0.001768080514832899,0.0016480047728053202,-0.00087472064121443,0.8333333333333334,True
2022,5,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2022,5,deployable,drop_column,news_state_silent,10.0,-0.04396112591333082,-0.06235039899580985,-0.16026346881907055,0.0,False
2022,5,deployable,drop_column,news_state_stale,10.0,0.0,-0.021085409603626707,-0.12651245762176025,0.0,False
2023,5,research,family_forward,attention,10.0,-0.27284073751151555,-0.28966826858416245,-0.46087213921251247,0.0,False
2023,5,research,family_forward,sentiment,10.0,-0.1379553157054274,-0.14763323508597775,-0.2394826274546388,0.0,False
2023,5,research,family_forward,source_diffusion_novelty,0.001,-0.1666592734679054,-0.16818743206426942,-0.25643122926850176,0.0,False
2023,5,research,family_forward,events,10.0,-0.07553167149496921,-0.1043416119288898,-0.21816378082306523,0.0,False
2023,5,research,family_forward,causal_state,10.0,-0.07219817785401904,-0.09950452512548878,-0.20577458918475744,0.0,False
2023,5,research,drop_column,has_news,10.0,-0.0015108075372486942,0.0032987460951634157,-0.027572955803457023,0.42857142857142855,False
2023,5,research,drop_column,log_count,10.0,0.001774702306989534,0.0025206643592799696,-0.00087472064121443,0.8571428571428571,True
2023,5,research,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2023,5,research,drop_column,news_state_silent,10.0,-0.041762514219603614,-0.05753254430996964,-0.16026346881907055,0.0,False
2023,5,research,drop_column,news_state_stale,10.0,0.0,-0.02608678515102816,-0.12651245762176025,0.0,False
2023,5,deployable,family_forward,attention,10.0,-0.27284073751151555,-0.28966826858416245,-0.46087213921251247,0.0,False
2023,5,deployable,family_forward,sentiment,10.0,-0.1379553157054274,-0.14763323508597775,-0.2394826274546388,0.0,False
2023,5,deployable,family_forward,source_diffusion_novelty,10.0,-0.14530454870316437,-0.16988819616218845,-0.28795197795097793,0.0,False
2023,5,deployable,family_forward,events,10.0,-0.07553167149496921,-0.1043416119288898,-0.21816378082306523,0.0,False
2023,5,deployable,family_forward,causal_state,10.0,-0.07219817785401904,-0.09950452512548878,-0.20577458918475744,0.0,False
2023,5,deployable,drop_column,has_news,10.0,-0.0015108075372486942,0.0032987460951634157,-0.027572955803457023,0.42857142857142855,False
2023,5,deployable,drop_column,log_count,10.0,0.001774702306989534,0.0025206643592799696,-0.00087472064121443,0.8571428571428571,True
2023,5,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2023,5,deployable,drop_column,news_state_silent,10.0,-0.041762514219603614,-0.05753254430996964,-0.16026346881907055,0.0,False
2023,5,deployable,drop_column,news_state_stale,10.0,0.0,-0.02608678515102816,-0.12651245762176025,0.0,False
2018,20,research,family_forward,attention,10.0,-0.0667726287169487,-0.0667726287169487,-0.07588377834323141,0.0,False
2018,20,research,family_forward,sentiment,10.0,-0.04579116855714235,-0.04579116855714235,-0.056718367330605556,0.0,False
2018,20,research,family_forward,source_diffusion_novelty,10.0,-0.04916407899127137,-0.04916407899127137,-0.06263620609296483,0.0,False
2018,20,research,family_forward,events,10.0,-0.021925534502280207,-0.021925534502280207,-0.03841016312535766,0.0,False
2018,20,research,family_forward,causal_state,10.0,-0.027482994371712588,-0.027482994371712588,-0.03207093990248227,0.0,False
2018,20,research,drop_column,has_news,10.0,-0.003598684312224763,-0.003598684312224763,-0.009657522458084065,0.5,False
2018,20,research,drop_column,log_count,10.0,-0.0018710861221087572,-0.0018710861221087572,-0.003304060553141473,0.0,False
2018,20,research,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2018,20,research,drop_column,news_state_silent,10.0,-0.026414937052367873,-0.026414937052367873,-0.03095923542148949,0.0,False
2018,20,research,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2018,20,deployable,family_forward,attention,10.0,-0.0667726287169487,-0.0667726287169487,-0.07588377834323141,0.0,False
2018,20,deployable,family_forward,sentiment,10.0,-0.04579116855714235,-0.04579116855714235,-0.056718367330605556,0.0,False
2018,20,deployable,family_forward,source_diffusion_novelty,10.0,-0.04339081818063849,-0.04339081818063849,-0.051423336855606634,0.0,False
2018,20,deployable,family_forward,events,10.0,-0.021925534502280207,-0.021925534502280207,-0.03841016312535766,0.0,False
2018,20,deployable,family_forward,causal_state,10.0,-0.027482994371712588,-0.027482994371712588,-0.03207093990248227,0.0,False
2018,20,deployable,drop_column,has_news,10.0,-0.003598684312224763,-0.003598684312224763,-0.009657522458084065,0.5,False
2018,20,deployable,drop_column,log_count,10.0,-0.0018710861221087572,-0.0018710861221087572,-0.003304060553141473,0.0,False
2018,20,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2018,20,deployable,drop_column,news_state_silent,10.0,-0.026414937052367873,-0.026414937052367873,-0.03095923542148949,0.0,False
2018,20,deployable,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2019,20,research,family_forward,attention,0.001,-0.0758763780369217,-0.12085406437045342,-0.22885946964899775,0.0,False
2019,20,research,family_forward,sentiment,10.0,-0.056718367330605556,-0.08087409069999474,-0.1510399349856995,0.0,False
2019,20,research,family_forward,source_diffusion_novelty,10.0,-0.06263620609296483,-0.08400055446319488,-0.1536735054070419,0.0,False
2019,20,research,family_forward,events,10.0,-0.03841016312535766,-0.04014216309431708,-0.07657542027839084,0.0,False
